cod;nome;tio;qnt;porcentagem;porc. Acumulada;qnt;porc. Qnt;data;dia;mês;ano
VALE3;VALE;ON NM;3292010807;10.562;10.562;1;0.0133;01/01/2008;1;1;8
B3SA3;B3;ON NM;2046021644;6.923;17.485;2;0.0267;02/02/2009;2;2;9
ITUB4;ITAUUNIBANCO;PN N1;4738562684;6.901;24.386;3;0.04;03/03/1910;3;3;10
PETR4;PETROBRAS;PN EDR N2;4520185835;5.402;29.788;4;0.0533;04/04/1911;4;4;11
BBDC4;BRADESCO;PN N1;4261649634;5.224;35.012;5;0.0667;05/05/1912;5;5;12
PETR3;PETROBRAS;ON EDR N2;2949857480;3.602;38.614;6;0.08;06/06/1913;6;6;13
ABEV3;AMBEV S/A;ON;4354228928;3.318;41.932;7;0.0933;07/07/1914;7;7;14
MGLU3;MAGAZ LUIZA;ON ED NM;661834080;2.883;44.815;8;0.1067;08/08/1915;8;8;15
BBAS3;BRASIL;ON NM;1418466803;2.585;47.4;9;0.12;09/09/1916;9;9;16
ITSA4;ITAUSA;PN N1;4494029326;2.568;49.968;10;0.1333;10/10/1917;10;10;17
WEGE3;WEG;ON ED NM;689271972;2.454;52.422;11;0.1467;11/11/1918;11;11;18
JBSS3;JBS;ON NM;1620646499;1.864;54.286;12;0.16;12/12/1919;12;12;19
NTCO3;GRUPO NATURA;ON NM;706484775;1.8;56.086;13;0.1733;01/13/1920;13;1;20
LREN3;LOJAS RENNER;ON NM;785308019;1.702;57.788;14;0.1867;02/14/1921;14;2;21
GNDI3;INTERMEDICA;ON NM;458380483;1.654;59.442;15;0.2;03/15/1922;15;3;22
SUZB3;SUZANO S.A.;ON NM;725859318;1.605;61.047;16;0.2133;04/16/1988;16;4;88
RENT3;LOCALIZA;ON NM;593233155;1.552;62.599;17;0.2267;05/17/1989;17;5;89
VVAR3;VIAVAREJO;ON NM;1443662628;1.527;64.126;18;0.24;06/18/1990;18;6;90
LAME4;LOJAS AMERIC;PN N1;831190451;1.524;65.65;19;0.2533;07/19/1991;19;7;91
BBDC3;BRADESCO;ON N1;1253093907;1.411;67.061;20;0.2667;08/20/1992;20;8;92
RADL3;RAIADROGASIL;ON NM;207425426;1.36;68.421;21;0.28;09/21/1993;21;9;93
EQTL3;EQUATORIAL;ON NM;1010186085;1.347;69.768;22;0.2933;10/22/1994;22;10;94
BTOW3;B2W DIGITAL;ON ES NM;207720872;1.327;71.095;23;0.3067;11/23/1995;23;11;95
RAIL3;RUMO S.A.;ON NM;1053753059;1.254;72.349;24;0.32;12/24/1996;24;12;96
UGPA3;ULTRAPAR;ON NM;1086422872;1.124;73.473;25;0.3333;01/25/1997;25;1;97
VIVT4;TELEF BRASIL;PN;415131868;1.112;74.585;26;0.3467;02/26/1998;26;2;98
BPAC11;BTGP BANCO;UNT EJ N2;236727231;1.077;75.662;27;0.36;03/27/1999;27;3;99
SBSP3;SABESP;ON NM;339982576;1.053;76.715;28;0.3733;04/28/1994;28;4;1994
BBSE3;BBSEGURIDADE;ON NM;671601167;0.987;77.702;29;0.3867;05/29/1995;29;5;1995
GGBR4;GERDAU;PN N1;1031246473;0.958;78.66;30;0.4;06/30/1996;30;6;1996
COGN3;COGNA ON;ON NM;1829322117;0.906;79.566;31;0.4133;07/01/1997;1;7;1997
BRFS3;BRF SA;ON NM;811416229;0.901;80.467;32;0.4267;08/02/1998;2;8;1998
BRDT3;PETROBRAS BR;ON NM;728125000;0.877;81.344;33;0.44;09/03/1999;3;9;1999
CCRO3;CCR SA;ON NM;1115695556;0.866;82.21;34;0.4533;10/04/2000;4;10;2000
HYPE3;HYPERA;ON NM;407518048;0.774;82.984;35;0.4667;11/05/2001;5;11;2001
HAPV3;HAPVIDA;ON NM;217060254;0.752;83.736;36;0.48;12/06/2002;6;12;2002
SULA11;SUL AMERICA;UNT ED N2;278742752;0.742;84.478;37;0.4933;01/07/2003;7;1;2003
ELET3;ELETROBRAS;ON EDR N1;358028908;0.715;85.193;38;0.5067;02/08/2004;8;2;2004
KLBN11;KLABIN S/A;UNT N2;637772642;0.711;85.904;39;0.52;03/09/2005;9;3;2005
CSAN3;COSAN;ON NM;153417832;0.708;86.612;40;0.5333;04/10/2006;10;4;2006
ENGI11;ENERGISA;UNT N2;250709436;0.649;87.261;41;0.5467;05/11/2007;11;5;2007
TIMP3;TIM PART S/A;ON NM;807711660;0.626;87.887;42;0.56;06/12/2008;12;6;2008
CMIG4;CEMIG;PN N1;966005862;0.619;88.506;43;0.5733;07/13/2009;13;7;2009
PCAR3;P.ACUCAR-CBD;ON NM;156575731;0.604;89.11;44;0.5867;08/14/2010;14;8;2010
EGIE3;ENGIE BRASIL;ON NM;254813401;0.596;89.706;45;0.6;09/15/2011;15;9;2011
SANB11;SANTANDER BR;UNT;362227661;0.589;90.295;46;0.6133;10/16/2012;16;10;2012
TOTS3;TOTVS;ON NM;403397655;0.552;90.847;47;0.6267;11/17/2013;17;11;2013
YDUQ3;YDUQS PART;ON NM;299667897;0.551;91.398;48;0.64;12/18/2014;18;12;2014
IRBR3;IRBBRASIL RE;ON NM;1250792767;0.529;91.927;49;0.6533;01/19/2015;19;1;2015
BRAP4;BRADESPAR;PN N1;222089397;0.498;92.425;50;0.6667;02/20/2016;20;2;2016
ELET6;ELETROBRAS;PNB EDR N1;240022548;0.493;92.918;51;0.68;03/21/2017;21;3;2017
CRFB3;CARREFOUR BR;ON NM;384888219;0.457;93.375;52;0.6933;04/22/2018;22;4;2018
BRML3;BR MALLS PAR;ON NM;843313591;0.455;93.83;53;0.7067;05/23/2019;23;5;2019
CSNA3;SID NACIONAL;ON;642387288;0.43;94.26;54;0.72;06/24/2020;24;6;2020
QUAL3;QUALICORP;ON NM;281558308;0.424;94.684;55;0.7333;07/25/1907;25;7;7
FLRY3;FLEURY;ON NM;305126422;0.41;95.094;56;0.7467;08/26/1908;26;8;8
CYRE3;CYRELA REALT;ON ED NM;281154098;0.407;95.501;57;0.76;09/27/1909;27;9;9
AZUL4;AZUL;PN N2;317471474;0.349;95.85;58;0.7733;10/28/1910;28;10;10
TAEE11;TAESA;UNT N2;218568274;0.334;96.184;59;0.7867;11/29/1911;29;11;11
BRKM5;BRASKEM;PNA N1;264632416;0.33;96.514;60;0.8;12/30/1912;30;12;12
MRFG3;MARFRIG;ON NM;423143092;0.325;96.839;61;0.8133;01/31/1913;31;1;13
EMBR3;EMBRAER;ON NM;736171905;0.306;97.145;62;0.8267;02/01/1914;1;2;14
MULT3;MULTIPLAN;ON N2;270279854;0.306;97.451;63;0.84;03/02/1915;2;3;15
MRVE3;MRV;ON NM;294706737;0.305;97.756;64;0.8533;04/03/1916;3;4;16
ENBR3;ENERGIAS BR;ON NM;295402225;0.286;98.042;65;0.8667;05/04/1917;4;5;17
CIEL3;CIELO;ON NM;1118386806;0.284;98.326;66;0.88;06/05/1918;5;6;18
CPFE3;CPFL ENERGIA;ON ED NM;170209781;0.283;98.609;67;0.8933;07/06/1919;6;7;19
GOAU4;GERDAU MET;PN N1;662644908;0.282;98.891;68;0.9067;08/07/1920;7;8;20
USIM5;USIMINAS;PNA N1;513781576;0.221;99.112;69;0.92;09/08/1994;8;9;94
BEEF3;MINERVA;ON NM;259260688;0.19;99.302;70;0.9333;10/09/1995;9;10;95
CVCB3;CVC BRASIL;ON NM;168533416;0.19;99.492;71;0.9467;11/10/1996;10;11;96
